filename,date,duration_min,avg_power,max_power,np,tss,avg_hr,max_hr,avg_speed,max_speed,distance_km,elevation_gain,calories
20250506.fit,2025-05-06 16:21:41,70.43333333333334,151.44026496333097,572.0,191.24265289241742,81.15977586526103,133.10598533238704,152.0,23.29519308056872,44.9424,27.51575,247.39999999999964,766
20250507.fit,2025-05-07 13:56:23,42.95,,,,,99.90163934426229,118.0,,,0.0,,284
20250508.fit,2025-05-08 16:20:38,119.21666666666667,147.00819292008038,460.0,179.14853730528168,120.5470496158383,128.55610510046367,150.0,22.0677916756924,56.397600000000004,40.12664999999999,439.20000000000084,1142
20250509.fit,2025-05-09 17:44:35,67.7,,,,,118.157602663707,135.0,16.019677397260274,39.636,12.74765,122.39999999999918,461
20250510.fit,2025-05-10 09:05:28,236.05,,,,,121.99144585854371,161.0,10.119506502500961,32.7492,20.83504,1180.8000000000006,1920
20250512.fit,2025-05-12 15:44:37,90.78333333333333,132.97227831834036,457.0,169.64315011257037,82.31364985113018,123.1098350386302,140.0,16.966396181384248,38.7972,26.660610000000002,424.19999999999936,883
20250514.fit,2025-05-14 14:57:25,266.0833333333333,116.39809396422002,798.0,178.1104641677216,265.9436475142031,132.36646658663466,164.0,18.775627808515754,65.3004,72.55551,744.999999999999,2165
20250516.fit,2025-05-16 15:36:25,154.41666666666666,150.38532110091742,419.0,185.53017977041355,167.4620416227016,131.8830005396654,149.0,21.089614044943822,51.3252,55.03322,576.8000000000006,1659
20250517.fit,2025-05-17 07:41:24,367.9166666666667,138.536587805732,1058.0,178.0458276305646,367.4566750481037,133.69111177764447,156.0,20.389831559981985,61.06680000000001,115.41322,1391.799999999998,3345
20250519.fit,2025-05-19 16:57:10,105.26666666666667,139.9217391304348,575.0,195.1408334417141,126.29328493955056,125.02281906300485,149.0,18.322557382347,51.998400000000004,26.46329,390.99999999999966,837
20250520.fit,2025-05-20 13:47:07,171.73333333333332,127.58446866485014,957.0,193.75787436561163,203.12641325662688,125.78818836349484,152.0,20.194654992503747,60.5304,57.12263,741.2000000000006,1612
2025052202.fit,2025-05-22 17:09:56,47.28333333333333,,,,,126.26075619295958,144.0,,,0.0,,590
20250525.fit,2025-05-25 07:06:20,571.2833333333333,105.28278563821695,656.0,166.06917372133404,496.38960852452226,120.1568017008998,159.0,19.378014135509584,62.913599999999995,143.91105,1366.6000000000008,3576
